,move_distances,yearly_moves,income_improvement,qol_improvement,cyclical_moves,time_to_next_move,attachment_level,mean_pInitiate,pConsumat,avg_satisfaction,num_uncertain,avg_move_distance,total_moves,satisfaction_levels,utility_changes,total_satisfaction,total_uncertainty,TimeStepsAwayFromHome,AvgDistanceAwayFromHome,FractionMovesHome,TotalDistanceTraveled,NumReturnsToHome,avg_utility_change,mean_attachment,sd_attachment,attachment_form_rate,attachment_decay_rate,initial_attachment,sd_pInitiate
17,[],141.04000000000002,-2867.1740857081318,6327.999370423471,0.0,0.0,0.0,0.1,0.6,2.670424101535056,0.0,16.29842481835764,705.2,[],[],0.0,0.0,527.7242289714015,0.0,0.5676,0.0,0.0,-4.281757743355452,0.0,0.1,0.01,0.05,0.2,0.05
18,[],143.04,-6996.452238640297,32105.256734721195,0.0,0.0,0.0,0.1,0.2,4.595039355695583,0.0,17.391675677904775,715.2,[],[],0.0,0.0,634.3279941327366,0.0,0.5288,0.0,0.0,-5.225670554583052,0.0,0.1,0.01,0.05,0.2,0.2
19,[],214.07999999999998,-58691.15677753097,79455.90680634129,0.0,0.0,0.0,0.1,0.6,3.010837441449188,0.0,18.425234256703995,1070.4,[],[],0.0,0.0,931.5183334431204,0.0,0.26880000000000004,0.0,0.0,-6.113034462177237,0.0,0.1,0.01,0.05,0.2,0.2
20,[],192.07999999999998,-1176.8829081394742,8417.386108368335,0.0,0.0,0.0,0.5,0.2,9.117392101569278,0.0,16.54295945748155,960.4,[],[],0.0,0.0,510.68458574463176,0.0,0.5471999999999999,0.0,0.0,-4.5819987364280435,0.0,0.1,0.01,0.05,0.2,0.05
21,[],191.68,-194.09467728704422,15859.993302645347,0.0,0.0,0.0,0.5,0.6,8.414805958854057,0.0,16.63810788952444,958.4,[],[],0.0,0.0,593.774239756244,0.0,0.43920000000000003,0.0,0.0,-4.846554033966367,0.0,0.1,0.01,0.05,0.2,0.05
22,[],236.0,2584.6734521583594,6218.043926828272,0.0,0.0,0.0,0.5,0.2,9.208911403598217,0.0,16.842710310427467,1180.0,[],[],0.0,0.0,591.994962523218,0.0,0.526,0.0,0.0,-3.8373272860443395,0.0,0.1,0.01,0.05,0.2,0.2
23,[],389.04,5992.404732161363,7566.363849637953,0.0,0.0,0.0,0.5,0.6,6.359899661376946,0.0,17.108192048248366,1945.2,[],[],0.0,0.0,793.9995574584711,0.0,0.3228,0.0,0.0,-6.113829883281648,0.0,0.1,0.01,0.05,0.2,0.2
24,[],118.52000000000001,-40449.72601159777,73679.69900768853,0.0,0.0,0.0,0.1,0.2,2.511566619111222,0.0,17.22006729236373,592.6,[],[],0.0,0.0,642.7903819436298,0.0,0.4976000000000001,0.0,0.0,-6.113122436135879,0.0,0.1,0.01,0.05,0.8,0.05
25,[],106.28,-8860.75073761785,46124.29341740072,0.0,0.0,0.0,0.1,0.6,3.261638024502845,0.0,18.23158817311471,531.4,[],[],0.0,0.0,626.3255490305357,0.0,0.6032000000000001,0.0,0.0,-5.166981645136319,0.0,0.1,0.01,0.05,0.8,0.05
26,[],51.720000000000006,13555.394699493248,30260.75350461029,0.0,0.0,0.0,0.1,0.2,6.825977668731348,0.0,17.76499512078031,258.6,[],[],0.0,0.0,446.9191522880277,0.0,0.7588,0.0,0.0,-5.154811476339184,0.0,0.1,0.01,0.05,0.8,0.2
27,[],130.2,-936.658530566407,6850.946542459598,0.0,0.0,0.0,0.1,0.6,4.116262240319924,0.0,17.08864188997034,651.0,[],[],0.0,0.0,512.4622245884233,0.0,0.6127999999999999,0.0,0.0,-3.9049025293107973,0.0,0.1,0.01,0.05,0.8,0.2
28,[],282.36,1349.063728791194,4750.63772266617,0.0,0.0,0.0,0.5,0.2,7.231948035458581,0.0,17.592984950403086,1411.8,[],[],0.0,0.0,661.5211135921411,0.0,0.4356,0.0,0.0,-5.14665692656249,0.0,0.1,0.01,0.05,0.8,0.05
29,[],334.44000000000005,-1808.3538078574863,23544.862690414644,0.0,0.0,0.0,0.5,0.6,5.174286468581164,0.0,16.88968627219786,1672.2,[],[],0.0,0.0,754.2350722172583,0.0,0.2504,0.0,0.0,-4.1927554029177125,0.0,0.1,0.01,0.05,0.8,0.05
30,[],240.95999999999998,-51720.51843261376,44487.431269503824,0.0,0.0,0.0,0.5,0.2,5.622067653844388,0.0,18.042324233628037,1204.8,[],[],0.0,0.0,738.5746890821467,0.0,0.37120000000000003,0.0,0.0,-4.503821556519897,0.0,0.1,0.01,0.05,0.8,0.2
31,[],206.64000000000001,-700.3116722230291,6442.342502693764,0.0,0.0,0.0,0.5,0.6,8.241451353121992,0.0,16.945888669690355,1033.2,[],[],0.0,0.0,594.1516866206141,0.0,0.5711999999999999,0.0,0.0,-4.311420288070523,0.0,0.1,0.01,0.05,0.8,0.2
32,[],63.19999999999999,-803.374197432043,1671.745284924385,0.0,0.0,0.0,0.1,0.2,8.586532322020183,0.0,17.766127894645344,316.0,[],[],0.0,0.0,438.0983454076995,0.0,0.8412000000000001,0.0,0.0,-4.859634241787748,0.0,0.1,0.05,0.01,0.2,0.05
33,[],262.64,-4511.311871178741,5245.499161170753,0.0,0.0,0.0,0.1,0.6,2.7469724741803914,0.0,18.205669652490577,1313.2,[],[],0.0,0.0,665.5799415462205,0.0,0.4636,0.0,0.0,-3.336733397548426,0.0,0.1,0.05,0.01,0.2,0.05
34,[],175.6,6048.660178196032,15787.085825738362,0.0,0.0,0.0,0.1,0.2,3.2773159203781708,0.0,16.460689056491667,878.0,[],[],0.0,0.0,617.8394038511985,0.0,0.4800000000000001,0.0,0.0,-5.1163380490271715,0.0,0.1,0.05,0.01,0.2,0.2
35,[],121.55999999999999,-5637.827772190476,11196.284330636678,0.0,0.0,0.0,0.1,0.6,5.033568868443623,0.0,16.373667898918804,607.8,[],[],0.0,0.0,469.24950100568714,0.0,0.7044,0.0,0.0,-2.918142024254136,0.0,0.1,0.05,0.01,0.2,0.2
36,[],240.72000000000003,6904.129144115755,13830.89805559552,0.0,0.0,0.0,0.5,0.2,5.694628205338263,0.0,16.215433374160327,1203.6,[],[],0.0,0.0,628.7375501164639,0.0,0.42399999999999993,0.0,0.0,-5.823305033929428,0.0,0.1,0.05,0.01,0.2,0.05
37,[],176.92,8715.806698718621,26122.93100033614,0.0,0.0,0.0,0.5,0.6,5.437002369346928,0.0,17.25049867470429,884.6,[],[],0.0,0.0,600.3449832869142,0.0,0.46240000000000003,0.0,0.0,-5.610982860037318,0.0,0.1,0.05,0.01,0.2,0.05
38,[],271.92,340.4478297698329,14745.063104311714,0.0,0.0,0.0,0.5,0.2,6.990848428141881,0.0,16.743836703718063,1359.6,[],[],0.0,0.0,659.0917885190165,0.0,0.4624,0.0,0.0,-5.835041988064469,0.0,0.1,0.05,0.01,0.2,0.2
39,[],185.76000000000002,-3164.2545627027494,9955.212655474214,0.0,0.0,0.0,0.5,0.6,7.302930282350589,0.0,16.354817701849488,928.8,[],[],0.0,0.0,526.8819725021785,0.0,0.628,0.0,0.0,-2.9029075708403598,0.0,0.1,0.05,0.01,0.2,0.2
40,[],91.96,-1402.0543913654606,3376.1112898191204,0.0,0.0,0.0,0.1,0.2,3.8160595563342232,0.0,17.32817591321885,459.8,[],[],0.0,0.0,467.1634723764214,0.0,0.738,0.0,0.0,-5.107361138195673,0.0,0.1,0.05,0.01,0.8,0.05
41,[],130.96,21048.86642560338,48215.92566442816,0.0,0.0,0.0,0.1,0.6,1.8570275631529682,0.0,17.919422464112028,654.8,[],[],0.0,0.0,688.074195024387,0.0,0.4516,0.0,0.0,-4.459963477451474,0.0,0.1,0.05,0.01,0.8,0.05
42,[],147.56,11677.178902266518,40157.69513921049,0.0,0.0,0.0,0.1,0.2,2.1408261940237865,0.0,17.291540358642383,737.8,[],[],0.0,0.0,735.2721199469827,0.0,0.3756,0.0,0.0,-5.0113802400566305,0.0,0.1,0.05,0.01,0.8,0.2
